iter	Passed	Remaining
311	79781	175927
312	80043	175685
313	80339	175518
314	80637	175354
315	80920	175156
316	81177	174902
317	81461	174707
318	81715	174445
319	81989	174226
320	82299	174084
321	82578	173877
322	82865	173684
323	83133	173451
324	83376	173166
325	83624	172892
326	83890	172656
327	84162	172431
328	84429	172194
329	84711	171990
330	84973	171744
331	85206	171440
332	85454	171165
333	85684	170856
334	85984	170685
335	86250	170447
336	86539	170253
337	86841	170085
338	87176	169980
339	87467	169790
340	87758	169597
341	88007	169323
342	88256	169050
343	88490	168749
344	88813	168616
345	89106	168426
346	89384	168208
347	89680	168021
348	89994	167869
349	90254	167615
350	90578	167480
351	90869	167281
352	91172	167106
353	91418	166826
354	91705	166620
355	91990	166408
356	92282	166212
357	92539	165951
358	92834	165757
359	93111	165531
360	93394	165316
361	93610	164982
362	93849	164689
363	94113	164440
364	94418	164263
365	94703	164049
366	94971	163805
367	95256	163592
368	95543	163382
369	95870	163238
370	96150	163015
371	96444	162814
372	96752	162637
373	97043	162431
374	97331	162219
375	97621	162009
376	97909	161796
377	98161	161525
378	98456	161323
379	98751	161121
380	99022	160879
381	99281	160617
382	99547	160368
383	99819	160127
384	100160	159996
385	100453	159789
386	100797	159660
387	101077	159431
388	101378	159234
389	101632	158964
390	101899	158713
391	102204	158521
392	102512	158333
393	102818	158142
394	103111	157930
395	103445	157781
396	103719	157538
397	104019	157335
398	104294	157094
399	104603	156905
400	104871	156653
401	105155	156426
402	105453	156217
403	105753	156013
404	106043	155792
405	106347	155592
406	106609	155329
407	106909	155123
408	107184	154880
409	107459	154636
410	107748	154413
411	108049	154206
412	108338	153981
413	108656	153798
